control_seq,control_record_time_sec,control_header_timestamp_sec,planning_header_sequence_num,planning_header_timestamp_sec,planning_publish_record_time_sec,matched_planning_seq_from_record,planning_age_ms,planning_trajectory_point_size,planning_trajectory_type,reuse_count,reuse_index_in_run
11308,1783598421.470545,1783598421.47027,682,1783598421.4086485,1783598421.4094696,682,61.075448989868164,79,NORMAL,7,6
11309,1783598421.4806817,1783598421.480408,682,1783598421.4086485,1783598421.4094696,682,71.2120532989502,79,NORMAL,7,7
11310,1783598421.4906516,1783598421.490335,683,1783598421.4830842,1783598421.4841113,683,6.5402984619140625,111,NORMAL,7,1
11311,1783598421.5005352,1783598421.5002918,683,1783598421.4830842,1783598421.4841113,683,16.423940658569336,111,NORMAL,7,2
11312,1783598421.5101666,1783598421.509973,683,1783598421.4830842,1783598421.4841113,683,26.055335998535156,111,NORMAL,7,3
11313,1783598421.520805,1783598421.520415,683,1783598421.4830842,1783598421.4841113,683,36.693572998046875,111,NORMAL,7,4
11314,1783598421.53041,1783598421.5302293,683,1783598421.4830842,1783598421.4841113,683,46.29874229431152,111,NORMAL,7,5
11315,1783598421.540698,1783598421.5403447,683,1783598421.4830842,1783598421.4841113,683,56.58674240112305,111,NORMAL,7,6
11316,1783598421.5504491,1783598421.5502152,683,1783598421.4830842,1783598421.4841113,683,66.33782386779785,111,NORMAL,7,7
11317,1783598421.5607738,1783598421.5605283,684,1783598421.556972,1783598421.5577683,684,3.005504608154297,111,NORMAL,10,1
11318,1783598421.5713866,1783598421.5709212,684,1783598421.556972,1783598421.5577683,684,13.618230819702148,111,NORMAL,10,2
11319,1783598421.5803654,1783598421.5801215,684,1783598421.556972,1783598421.5577683,684,22.597074508666992,111,NORMAL,10,3
11320,1783598421.5925384,1783598421.5923076,684,1783598421.556972,1783598421.5577683,684,34.77001190185547,111,NORMAL,10,4
11321,1783598421.600489,1783598421.6002603,684,1783598421.556972,1783598421.5577683,684,42.72055625915527,111,NORMAL,10,5
11322,1783598421.610747,1783598421.6104805,684,1783598421.556972,1783598421.5577683,684,52.9787540435791,111,NORMAL,10,6
11323,1783598421.6250768,1783598421.622693,684,1783598421.556972,1783598421.5577683,684,67.30842590332031,111,NORMAL,10,7
11324,1783598421.630901,1783598421.6304948,684,1783598421.556972,1783598421.5577683,684,73.13275337219238,111,NORMAL,10,8
11325,1783598421.6409364,1783598421.6406133,684,1783598421.556972,1783598421.5577683,684,83.16802978515625,111,NORMAL,10,9
11326,1783598421.6506135,1783598421.6503754,684,1783598421.556972,1783598421.5577683,684,92.84520149230957,111,NORMAL,10,10
11327,1783598421.6607137,1783598421.6604018,685,1783598421.656552,1783598421.6575246,685,3.1890869140625,69,SPEED_FALLBACK,7,1
11328,1783598421.6705155,1783598421.670255,685,1783598421.656552,1783598421.6575246,685,12.990951538085938,69,SPEED_FALLBACK,7,2
11329,1783598421.6801958,1783598421.6800086,685,1783598421.656552,1783598421.6575246,685,22.671222686767578,69,SPEED_FALLBACK,7,3
11330,1783598421.6904228,1783598421.6901865,685,1783598421.656552,1783598421.6575246,685,32.8981876373291,69,SPEED_FALLBACK,7,4
11331,1783598421.7003748,1783598421.7001386,685,1783598421.656552,1783598421.6575246,685,42.85025596618652,69,SPEED_FALLBACK,7,5
11332,1783598421.7102947,1783598421.710141,685,1783598421.656552,1783598421.6575246,685,52.770137786865234,69,SPEED_FALLBACK,7,6
11333,1783598421.7204022,1783598421.7201684,685,1783598421.656552,1783598421.6575246,685,62.877655029296875,69,SPEED_FALLBACK,7,7
11334,1783598421.7305236,1783598421.7303464,686,1783598421.7280116,1783598421.7285013,686,2.022266387939453,69,SPEED_FALLBACK,7,1
11335,1783598421.740368,1783598421.740043,686,1783598421.7280116,1783598421.7285013,686,11.866569519042969,69,SPEED_FALLBACK,7,2
11336,1783598421.7522802,1783598421.7521234,686,1783598421.7280116,1783598421.7285013,686,23.778915405273438,69,SPEED_FALLBACK,7,3
11337,1783598421.762498,1783598421.7621906,686,1783598421.7280116,1783598421.7285013,686,33.99658203125,69,SPEED_FALLBACK,7,4
11338,1783598421.7714672,1783598421.7711751,686,1783598421.7280116,1783598421.7285013,686,42.96588897705078,69,SPEED_FALLBACK,7,5
11339,1783598421.7825322,1783598421.78228,686,1783598421.7280116,1783598421.7285013,686,54.0308952331543,69,SPEED_FALLBACK,7,6
11340,1783598421.7904072,1783598421.7901697,686,1783598421.7280116,1783598421.7285013,686,61.905860900878906,69,SPEED_FALLBACK,7,7
11341,1783598421.8005497,1783598421.8002963,687,1783598421.7906408,1783598421.7911546,687,9.395122528076172,69,SPEED_FALLBACK,7,1
11342,1783598421.8102326,1783598421.8100495,687,1783598421.7906408,1783598421.7911546,687,19.07801628112793,69,SPEED_FALLBACK,7,2
11343,1783598421.8204708,1783598421.8202145,687,1783598421.7906408,1783598421.7911546,687,29.316186904907227,69,SPEED_FALLBACK,7,3
11344,1783598421.8324788,1783598421.832237,687,1783598421.7906408,1783598421.7911546,687,41.32413864135742,69,SPEED_FALLBACK,7,4
11345,1783598421.8402467,1783598421.839964,687,1783598421.7906408,1783598421.7911546,687,49.09205436706543,69,SPEED_FALLBACK,7,5
11346,1783598421.8507514,1783598421.8503125,687,1783598421.7906408,1783598421.7911546,687,59.59677696228027,69,SPEED_FALLBACK,7,6
11347,1783598421.8605483,1783598421.8602877,687,1783598421.7906408,1783598421.7911546,687,69.39363479614258,69,SPEED_FALLBACK,7,7
11348,1783598421.870592,1783598421.87025,688,1783598421.8668048,1783598421.8672862,688,3.3059120178222656,69,NORMAL,8,1
11349,1783598421.8802109,1783598421.8800178,688,1783598421.8668048,1783598421.8672862,688,12.924671173095703,69,NORMAL,8,2
11350,1783598421.8904386,1783598421.890235,688,1783598421.8668048,1783598421.8672862,688,23.15235137939453,69,NORMAL,8,3
11351,1783598421.9003685,1783598421.9001472,688,1783598421.8668048,1783598421.8672862,688,33.08224678039551,69,NORMAL,8,4
11352,1783598421.9103365,1783598421.9100645,688,1783598421.8668048,1783598421.8672862,688,43.050289154052734,69,NORMAL,8,5
11353,1783598421.9203517,1783598421.9200857,688,1783598421.8668048,1783598421.8672862,688,53.06553840637207,69,NORMAL,8,6
11354,1783598421.932566,1783598421.9322603,688,1783598421.8668048,1783598421.8672862,688,65.27972221374512,69,NORMAL,8,7
11355,1783598421.940389,1783598421.9400566,688,1783598421.8668048,1783598421.8672862,688,73.10271263122559,69,NORMAL,8,8
